,MSE,MAE,r2
LR,1.4382323815969669,0.5633956947550403,0.9666148439217566
KNN,6.968488314984709,5.6556549019607845,0.28379619294060976
MLP,7.7656959856319405,6.254013843047373,-0.4019054281410453
DT,1.7341913411856076,0.5981333333333334,0.9549882092676729
Adaboost,1.9549481385228362,1.1013948581994395,0.9455361267005726
GBR,1.5207497268701775,0.4097842399961443,0.966479806502568
XGboost,1.5859871953376232,0.6157704883332344,0.9624670810453468
RF,1.4857552704818886,0.41710980392157,0.9684163352904205
LGBM,1.8357891138446816,0.9528216271438625,0.9537044537970418
SVR,8.268268439388525,6.793982784541339,0.0065640476498657115
ETR,1.3167521202540475,0.45024703754013606,0.975940855993746
Catboost,1.538302515967105,0.7455942679869689,0.9687408579694263
